TRULY Unique ID,EASYPROD - UniquID,EASYPROD - Appt ID,NEW OCCUPANCY UNIT,NEW OCCUPANCY ADRESSS,ASSAF UNIT,Assaf Address,ZEHAVIT yechida,zehavit address,zehavit alternative address,RICKI APT ,ricki insurance,CONTROLSHEET
05E,1848,U091,91,גוש עציון 91/05,91,גוש עציון 91/5,91,גוש עציון 91/5,גוש עציון 91/47,91,גוש עציון 91/05,91
05F,1919,U092,92,גוש עציון 97/04,92,גוש עציון 97/4,92,גוש עציון 97\19,"גוש עציון 4\97
גוש עציון 19\99",92,גוש עציון 97/04,92
060,0929,U093,93,רוטנברג 10/01,93,רוטנברג 10/1,93,רוטנברג 43840,"רוטנברג 10/9 
חשמל
בגז 10/29",93,רוטנברג 10/01,93
061,1703,U094,94,נילי 05/15,94,נילי 5/15,94,נילי 5/15,,94,נילי 05/15,94
062,1912,U095,95,גוש עציון 97/11,95,גוש עציון 97/11,95,גוש עציון 97/11,,95,גוש עציון 97/11,95
063,2056,U096,96,חנה סנש 18/2ח',96,חנה סנש 18/2 ,96,חנה סנש 44245,רזיאל 15/56,96,חנה סנש 18/2ח',96
064,1427,U097,97,רוטנברג 06/27,97,רוטנברג 6/27,97,רוטנברג  6/27,X,97,רוטנברג 06/27,97
065,3225,U098,98,חנה סנש 08/02,98,חנה סנש 8/2,98,חנה סנש 43869,חנה סנש 8/25 בחשמל,98,חנה סנש 08/02,98
066,2801,U099,99,השלום 129/1,99,השלום 129/2,99,השלום  129/1א,השלום 129/2,99,השלום 129/1,99
067,2044,U100,100,חנה סנש 18/06,100,רזיאל 11/44,100,חנה סנש 18/6 ו',"רזיאל 11/44
חברת חשמל:
חנה סנש 18. כ6. ד44 ",100,חנה סנש 18/06,100
068,2051,U101,101,חנה סנש 18/05,101,רזיאל 13/51,101,חנה סנש 43969,"רזיאל 13/51
חנה סנש 18/51 בחשמל",101,חנה סנש 18/05,101
069,1726,U102,102,נילי 07/26,102,נילי 7/26,102,"ניל""י 7/26",5/26 בגז,102,נילי 07/26,102
06A,,,103,רוטנברג 12/07,103,רוטנברג 12/7,103,רוטנברג 12/21,רוטנברג 12/7,103,רוטנברג 12/07,103
06B,1417,U104,104,רוטנברג 06/17,104,רוטנברג 6/17,104,רוטנברג  6/17,,104,רוטנברג 06/17,104
06C,1710,U105,105,נילי 05/09,105,נילי 5/9,105,"ניל""י 44079",,105,נילי 05/09,105
06D,,,106,רוטנברג 12/27,106,רוטנברג 12/27,106,רוטנברג  12/13,"בגז ובחשמל 
מעודכן רוטנברג 12/27",106,רוטנברג 12/27,106
06E,,,,,,,107, ,,, ,
06F,0939,U108,108,רוטנברג 10/11,108,רוטנברג 10/11,108,רוטנברג 44510,X,108,רוטנברג 10/11,108
070,1709,U201,201,נילי 5/8,201,נילי 5/8,201,"ניל""י 43317",X,201,נילי 5/8,201
071,1724,U202,202,נילי 7/24,202,נילי 7/24,202,"ניל""י 7/24",X,202,נילי 7/24,202
072,3220,U203,203,חנה סנש 6/6,203,חנה סנש 6/4,203,חנה סנש  6/20,חנה סנש 6/4,203,חנה סנש 6/6,203
073,1304,U204,204,בן גוריון 16/4,204,בן גוריון 16/4,204,בן גוריון 43206,X,204,בן גוריון 16/4,204
074,2001,U205,205,חנה סנש 18/1 א',205,רזיאל 1/1,205,חנה סנש  18/1 א',"רזיאל 1/1
",205,חנה סנש 18/1 א',205
075,2018,U206,206,רזיאל 5/3,206,רזיאל 5/3,206,חנה סנש  18/18,"אמישרגז רזיאל 3/18
רזיאל 5
חנה סנש  18/2 ג'",206,רזיאל 5/3,206
076,1729,U207,207,נילי 7/29,207,"נילי 7/26
",207,נילי  7/29,X,207,נילי 7/29,207
077,2806,U208,208,השלום 129/5א',208,השלום 129/6,208,השלום 129/5,"השלום 129/5 א'
בארנונה",208,השלום 129/5א',208
078,2011,U209,209,חנה סנש 18/3 ב',209,רזיאל 3/3 (רזיאל 18/3),209,חנה סנש  18/3 ב',"רזיאל 3
בחשמל חנה סנש 
11\18",209,חנה סנש 18/3 ב',209
